"";"delim";"auteurs.0.prenom";"date_soutenance";"directeurs_these.0.prenom";"president_jury.prenom";"titres.fr"
"186";",";"Eduardo";2010-01-01;"Michael";NA;"La philosophie de l'histoire chez Max Weber"
"187";",";"Anna";2010-01-01;"Gérard";"Monique";"Genre du pouvoir et démocratie libérale en Mongolie : analyse de l'échec du mouvement associatif des femmes, entre espace politique, nomadisme et ONG internationales"
"188";",";"Fahimeh";2010-01-01;"Farhad";NA;"Le nouveau mouvement ethnique en Iran contemporain : une analyse sur l'action ethnique"
"189";",";"Anca";2010-01-01;"Cristian";NA;"Le couple non marié en Roumanie et en France : une approche de sociologie comparée"
"190";",";"Noémi";2010-01-01;"François";NA;"L'ordre public dans la capitale ottomane : Istanbul, 1879-1909"
"191";",";"Amotz";2010-01-01;"Gisèle";NA;"Ecrivains étrangers à Paris et construction identitaire supranationale : le cas de la panlatinité, 1900-1939"
"192";",";"Diana";2010-01-01;"Jean-Louis";NA;"Esthétique, politique et société : naissance du Film-événement, entre pratique et théorie"
"193";",";"Corinne";2010-01-01;"Hamit";NA;"Itinéraire d'une communauté en exil : les réfugiés politiques turcs de gauche en France aprés le coup d'Etat militaire de septembre 1980 en Turquie"
"194";",";"Cağla E.";2010-01-01;"Nilüfer";NA;"Personnages publics de l'islam en Europe : scandales, controverses et performances"
"195";",";"Benoît";2010-01-01;"Alain";NA;"Les protections de la personne à demi-capable : suivis ethnographiques d'une autonomie scindée"
"196";",";"Alejandra";2010-01-01;"Yvon";NA;"Entre luttes indiennes et « rêve américain » : l'expérience migratoire des jeunes Indiens mexicains aux Etats-Unis"
"197";",";"Sylvain";2008-01-01;"Michel";NA;"Les consultants et les systèmes d'information : la déformation de l'espace du conseil français sous l'effet des nouvelles technologies (1990-2005)"
"198";",";"Maryse";2009-01-01;"Alain";NA;"De l'URSS à la fédération de Russie : les conditions sociales d'émergence d'un nouvel espace politique"
"199";",";"Juan Carlos De Leon";2009-01-01;"Daniel";NA;"Se sentir concerné par la violence en Colombie : vecteurs et modalités de la constitution de publics internationaux"
"200";",";"Vanessa";2009-01-01;"Gérard";NA;"L' emploi étudiant : apprentissage du salariat"
"201";",";"Joëlle";2009-01-01;"Didier";NA;"Naissance d'une politique du gène : enjeux sociaux, politiques et moraux du dépistage néonatal de la mucoviscidose"
"202";",";"Virginie";2009-01-01;"Danièle";NA;"Sociologie d'une utopie religieuse : l'étude du mouvement des Focolari"
"203";",";"Marie";2009-01-01;"Serge";NA;"Habiter à côté des SDF : représentations sociales et attitudes à l'égard des personnes sans domicile"
"204";",";"Joan";2009-01-01;"Laurent";NA;"Venir à la communauté : une sociologie de l'hospitalité et de l'appartenance"
"205";",";"Karim";2009-01-01;"Emmanuel";NA;"Batailler pour un chant : la construction d'une culture professionnelle musicienne du Rap français"
"206";",";"Lena de";2008-01-01;"Michel";NA;"Traverser le miroir : processus de subjectivation des femmes marocaines"
"207";",";"Judith";2011-01-01;"Patrick";NA;"La mise en place de la déontologie dans les activites financiers : de la question morale à celle de la responsabilité du système financier"
"208";",";"Xavier";2007-01-01;"Gérard";NA;"La gestion publique du chômage des jeunes de milieux populaires : éducation morale, conversion et renforcement des aspirations socioprofessionnelles"
"209";",";"Maixant Maurèle";2007-01-01;"André";NA;"Le pentecôtisme d'Afrique centrale (Gabon) : stratégies d'évangélisation et conversion"
"210";",";"Ipek";2011-01-01;"Hamit";NA;"Political engagement patterns of islamist movements : the case of the Nizam/Selamet movement"
"211";",";"Nicolas";2007-01-01;"Gisèle";NA;"Le choix de l'image : sociologie des producteurs de télévision"
"212";",";"Mohand Akli";2006-01-01;"Fanny";NA;"Le Groupe d'Études sur l'Histoire des Mathématiques à Béjaïa : une association indépendante à la recherche du patrimoine d'une ville et de sa province dans l'Algérie d'aujourd'hui"
"213";",";"Romain";2007-01-01;"Jean-Louis";NA;"Les réceptions du pragmatisme en France (1890-2007) : histoires et enjeux"
"214";",";"Caroline";2006-01-01;"Laurent";NA;"Les situations de dispersion au travail"
"215";",";"Rémy";2007-01-01;"Michel";NA;"Un salariat libéral : les vacataires des instituts de sondages : sociologie d'un marché du travail dérégulé"
"216";",";"Rachel";2008-01-01;"Emmanuel";NA;"Les pratiques discursives œnophiles entre normativité et appropriation : contribution à une sociologie des cultures alimentaires"
"217";",";"Ingrid";2008-01-01;"Klaus";NA;"Les descendants des immigrés en France et en Allemagne : des destins contrastés : participation au marché du travail, formes d'appartenance et modes de mise à distance sociale"
"218";",";"Rebeca";2014-01-01;"Alain";NA;"Démontrer une promesse fragile : Genèse, Régime et Politisation de la démonstration des techniques de captage, de transport et de stockage du CO₂ (CTSC) en Europe"
"219";",";"Matias";2010-01-01;"Michèle";NA;"Socio-histoire de la question du gouvernement de la ville : Buenos Aires. De la fédéralisation à l'autonomie (1880-1996)"
"220";",";"Eddie";2010-01-01;"Eric";NA;"Les stratégies d'actions « à l'encontre » : démarcations de frontières symboliques par des groupes exclus à l'exemple des jeunes de banlieue"
"221";",";"Florence";2010-01-01;"Louis";NA;"Corps, affectivité et jeu de langage : du sensoriel au sens social, l'ontogènese possible de l'habitus et des représentations sociales chez le Bébé"
"222";",";"Abdol Ghafour";2004-01-01;"Farhad";NA;"La mémoire des exilés politiques iraniens : étude psychosociologique : relecture de ""la mémoire des exilés politiques de la Révolution iranienne de 1979"""
"223";",";"Geneviève";2005-01-01;"Rose-Marie";NA;"L'accès des femmes à la violence légale : la féminisation de la police (1935-2005)"
"224";",";"Pierre";2005-01-01;"François";NA;"Les évolutions de la danwei dans la Chine des réformes : une analyse des changements de la société urbaine (1978-2004)"
"225";",";"Elisabeth";2004-01-01;"Emmanuel";NA;"La fabrication des musiques particularistes : une sociologie de la différence : chanter la langue d'Oc en Provence à la fin du XXe siècle"
"226";",";"Baptiste";2003-01-01;"Danièle";NA;"""Que Dieu vous bénisse !"" : le mariage religieux des couples du même sexe aux Etats-Unis"
"227";",";"Rodrigo";2005-01-01;"Daniel";NA;"Le renversement de la politique : pouvoir politique, démocratie libérale et néo-conservatisme au Chili"
"228";",";"David";2005-01-01;"Emmanuel";NA;"Janus sur les tréteaux de la diplomatie : la circulation théâtrale, reflet de l'action culturelle extérieure"
"229";",";"Laura";2012-01-01;"Nathalie";NA;"L'autonomie reproductive au Costa Rica et au Nicaragua : un talon d’Achille dans le processus de laïcisation"
"230";",";"Marie";2000-01-01;"Christian";NA;"Les kanaks et l'école : socio-histoire de la scolarisation des Mélanésiens de Nouvelle-Calédonie (1853-1998)"
"231";",";"Véronique";2006-01-01;"Michel";NA;"De la colonie ouvrière à la colonie intérieure : les Roms hongrois des Hétes dans la «transition» postcommuniste"
"232";",";"Françoise";2002-01-01;"Jean-Louis";NA;"L'enseignement de l'histoire de la colonisation et de la décolonisation de l'Algérie depuis les années trente : État-nation, identité nationale, critique et valeurs : essai de sociologie du curriculum"
"233";",";"Mariana";2012-01-01;"Monique de";NA;"La monnaie en question : pratiques et conflits à propos de l'argent lors de la crise de 2001 en Argentine"
"234";",";"Aurélie";2005-01-01;"Pierre-Michel";NA;"Faire profession de la démocratisation culturelle : travail, emploi et identité professionnelle des médiateurs de musées"
"235";",";"Lynda";2012-01-01;"Isabelle";NA;"Entre désordre et ordre : la fabrique des réseaux régionaux de cancérologie (1990-2010)"
"236";",";"Arsenio Ernesto";2012-01-01;"Christian";NA;"La construction sociale de la réalité hydraulique au Mexique (1951-2010) : champs sociaux, réseaux et représentations territoriales en conflit"
"237";",";"Camille";2009-01-01;"Laurent";NA;"Sur les chemins du public : travail journalistique et composition du commun au Liban"
"238";",";"Jean";2013-01-01;"Francis";"Nicolas";"Former des producteurs de savoir : les réformes du doctorat à l'ère de l'économie de la connaissance"
"239";",";"Joël";2013-01-01;"Catherine";NA;"Des existences paysannes au fil de l'eau : le grand barrage Gosikhurd et les déplacements de population au Vidarbha, Inde centrale"
"240";",";"Cornelia";2013-01-01;"Michel";NA;"Pour une socio-histoire de la catégorie de père de l'Europe et ses usages pluriels : trajectoires, réputations, mémoires (1950-2010)"
"241";",";"Yi-Chen";2009-01-01;"Pierre-Michel";NA;"La profession artistique dans les arts du spectacle contemporains à Taïwan"
"242";",";"Fatou";2009-01-01;"Didier";NA;"Enjeux politiques et moraux au temps des antirétroviraux : une sociologie du sida au Sénégal"
"243";",";"Jean-Christophe";2009-01-01;"Jacques";NA;"Les raves et la musique techno en effets : contribution à une sociologie des formes culturelles"
"244";",";"Carlos Rafael";2009-01-01;"Yvon";NA;"Action collective et identité : analyse du mouvement El Barzón (Mexique)"
"245";",";"Emmanuel";2009-01-01;"Charles";NA;"Les ingénieurs militaires de la Délégation générale pour l'armement : trajectoires subjectives et identités professionnelles"
"246";",";"Yaël";2009-01-01;"Pierre";NA;"Rachel et Léa - entre tradition et contemporanéité : représentation des deux matriarches de la Bible à la société juive contemporaine en France et en Israël, au fil du Tamuld de Babylone, du Midrach Rabba du commentaire de Rachi et du Zohar"
"247";",";"Fanny";2008-01-01;"Vérène";"Bénédicte";"Les carrières équestres de compétition des cavalières et des cavaliers : l'exemple du concours de saut d'obstacles"
"248";",";"Jean-Sébastien";2008-01-01;"Florence";NA;"« Spécialistes par obligation » : des parents face au handicap mental : théories diagnostiques et arrangements pratiques"
"249";",";"Nicolas";2008-01-01;"Serge";NA;"L'injonction à l'autonomie : l'expérience vécue des politiques d'insertion"
"250";",";"Judit";2008-01-01;"Monique de";NA;"Expériences éducatives dans les espaces périscolaires : contribution à une sociologie de l'Education nouvelle"
"251";",";"Claire";2008-01-01;"Patrice";NA;"La production sociale de la santé aux âges élevés : analyse de l'évolution de la mortalité au-delà de 60 ans dans la France de l'aprés Seconde Guerre mondiale"
"252";",";"Lorena";2008-01-01;"Robert";NA;"De la gestion de l'autonomie : parcours de travailleurs autonomes argentins dans les années 90"
"253";",";"Frédérique";2008-01-01;"Christopher";NA;"La famille à l'épreuve de l'instabilité de l'emploi : les liens familiaux de jeunes actifs peu qualifiés en Seine-Saint-Denis"
"254";",";"Vincent";2008-01-01;"Olivier";NA;"Un déclassement négocié : la fnac : histoire d'entreprise, trajectoires socioprofessionnelles et pratiques de travail des générations d'employé(e)s"
"255";",";"Estelle d'";2008-01-01;"Didier";NA;"Les épreuves de l'asile : de la politique du soupçon à la reconnaissance des réfugiés"
"256";",";"Marina";2000-01-01;"Alain";NA;"Processus de transition entre démocratisation et fascisation : (analyse sociologique appliquée en Croatie et en Serbie)"
"257";",";"Carole";2008-01-01;"Alain";NA;"L'égard et la règle : déboires et bonheurs de la civilité urbaine"
"258";",";"Emmanuelle";2006-01-01;"Nicolas";NA;"À l'épreuve du sang contaminé : expérience des acteurs de l'hémophilie et reconfiguration du monde médical"
"259";",";"Sylvain";2006-01-01;"Michel";NA;"Le Réveil Sourd : d'hier à aujourd'hui (1971-2006) : de l'action collective d'un mouvement culturel pour la réhabilitation de la Langue-des-Signes-Française, à l'affirmation d'une identité collective pour la participation sociale des sourds"
"260";",";"Bruno";2006-01-01;"Jean-Louis";NA;"L'édition en sciences sociales : une approche socio-épistémologique. Productions et marchés ; évaluation et sélection ; mise en texte et mise en livre"
"261";",";"Narda";2007-01-01;"Michel";NA;"Acteurs et sujets dans le Pérou contemporain : protestations régionales et mobilisations des femmes depuis 1975"
"262";",";"Abdoulaye";2007-01-01;"Jean";NA;"Risque, danger de sinistre et sinistre dans un programme international pour le développement : enjeux stratégiques et intérêts spécifiques autour d'un projet de réforme institutionnelle au Sénégal"
"263";",";"Luis Ernesto";2007-01-01;"Yvon";NA;"En quête d'identité : mondialisation, figures de la féminité et conflits sociaux à la frontière Mexique-Etats-Unis"
"264";",";"Sébastien";2007-01-01;"Christian";NA;"Intérim industriel et mouvements de journaliers à Chicago"
"265";",";"Adolfo León";2007-01-01;"Daniel";NA;"Militaires et civils : modernisation et professionnalisation de l'armée en Colombie, 1907-1958"
"266";",";"Petru";2007-01-01;"Anne-Marie";NA;"Nationale par la forme, socialiste par le contenu : littérature et politique en Bessarabie roumaine et Moldavie soviétique durant la période stalinienne"
"267";",";"Michael";2007-01-01;"Isabelle";NA;"Entre économie technique et économie morale : le travail d'urgence vitale à Paris et à New York"
"268";",";"Fernando Cardoso";2013-01-01;"Nilüfer";NA;"Le sens des ONG au Brésil : justice sociale, philanthropie et écologie"
"269";",";"Fatiha";2011-01-01;"Farhad";NA;"Les Françaises musulmanes face à l'emploi : le cas des pratiquantes ""voilées"" dans la métropole lilloise"
"270";",";"Laurent";2014-01-01;"Jonathan";NA;"Composer une musique savante originale aux États-Unis de 1890 à 1930 : les conditions sociales de possibilité de l’œuvre de Charles Ives (1874-1954)"
"271";",";"Laure";2013-01-01;"Florence";NA;"L'argent des crédits : recours au crédit à la consommation, contraintes et pratiques de remboursement de petits fonctionnaires entre les années 1980 et les années 2000"
"272";",";"Miguel Angel";2009-01-01;"Christian";NA;"L'émergence tronquée de la « problématique de la marginalité » en Amérique latine"
"273";",";"Jui-hua";2008-01-01;"Dominique";NA;"Redécouverte de la localité : relation entre l'État-nation et la société locale de la République de Chine à Taiwan, 1926-2000"
"274";",";"William";2016-01-01;"Nilüfer";"Didier";"L'islam, moteur de I'engagement citoyen ? : études des constructions personnelles et impact social de l'islam dans l'espace public européen à partir du milieu associatif musulman"
"275";",";"Michal";2019-09-27;"Ilana";"Éric";"La production des évidences sur l'intersexuation : savoirs et pratiques médicales autour de l'hyperplasie congénitale des surrénales (France, 1950-2018)"
"276";",";"Zoé";2016-01-01;"Marc";"François";"Le lycée à I'épreuve du cancer : étude de la coordination des professionnel-le-s soignant-e-s, non soignant-e-s et enseignant-e-s autour du suivi des trajectoires scolaires d'élèves atteint-e-s de cancer"
"277";",";"Sébastien";2017-05-09;"Michel";"Florent";"L’opération archéologique. Sociologie historique d’une discipline aux prises avec l’automatique et les mathématiques. France, Espagne, Italie, 2e moitié du XXe siècle"
"278";",";"Flavio";2017-03-14;"Serge";"Éric";"La régulation familialiste de la pauvreté : le cas du Programme Bolsa Família dans la région Nordeste du Brésil"
"279";",";"Amélie";2019-01-14;"Gloria";"Rémy";"Massacrer dans l’intimité : la question des ruptures de liens sociaux et familiaux dans le cas du génocide des Tutsis du Rwanda de 1994"
"280";",";"Louis";2017-06-19;"Philippe";"Vincent";"La fabrique du sujet vulnérable : étude sur l'expérience du cancer de la prostate"
"281";",";"Gaspard";2017-12-11;"Louis";"Jérôme";"Les philosophes et le réel."
"282";",";"Alexandre";2019-04-03;"Muriel";"Nicolas";"La socialisation au village : encadrement des jeunes et apprentissage du politique en milieu rural"
"283";",";"Francesco";2016-01-01;"Vincenzo";"Chantal";"Le développement du soufisme en Europe : au-delà de l'antinomie modernité et tradition"
"284";",";"Tatiana";2017-04-19;"Claude";"Wendy";"La fabrique des listes du patrimoine mondial de l'UNESCO : une approche socio-politique des relations internationales au sein d'une organisation mondiale"
"285";",";"Raphaël";2019-12-19;"Ilana";"Armelle";"Entre ""comment"" et ""si"" : incertitudes et engagements professionnels entourant les chirurgies génitales précoces chez les clinicien.ne.s du développement sexuel atypique"
"286";",";"Jye-Ni";2019-03-28;"Emmanuel";"Éric";"Écrire une histoire de l'art taïwanais, une entreprise politique controversée"
"287";",";"Sébastien";2006-01-01;"Pierre-Michel";NA;"Un monde en archipels : socio-économie de la poésie contemporaine"
"288";",";"Lun";2000-01-01;"Alain";NA;"Les lumières et les acteurs : la modernité et les intellectuels en Chine"
"289";",";"Derya";2005-01-01;"Dominique";NA;"Les jeunes issus de l'immigration de Turquie en France"
"290";",";"Janine";2000-01-01;"Claudine";NA;"Recherche médicale et mobilisations collectives : le cas des associations de lutte contre le sida"
"291";",";"Christy L.";2012-01-01;"Claude";NA;"Du discours au récit : approche comparative du rapport entre alimentation et constructions identitaires en France et aux États-Unis"
"292";",";"Nikolaos";2005-01-01;"Christian";NA;"Des quartiers à la mode : enquête sociologique sur les mutations des marchés du divertissement et de l'art à Athènes (années 1990)"
"293";",";"Anne";2003-01-01;"Claudine";NA;"Consciences professionnelles : approche sociologique de la morale au travail, à partir du cas des décisions d'arrêt ou de poursuite en réanimation néonatale"
"294";",";"Pierre";2000-01-01;"Pierre-Michel";NA;"Le renouveau de la musique ancienne : dynamique socioéconomique d'une innovation esthétique"
"295";",";"Stéphane";2005-01-01;"Jean-Louis";NA;"La globalisation des formes culturelles : le jazz et le rock à Calcutta"
"296";",";"Francis";2004-01-01;"Gérard";NA;"La socialisation des enfants par les loisirs : du patronage au centre de loisirs"
"297";",";"Agnès";2005-01-01;"Farhad";NA;"Les Palestiniennes entre soumission et émancipation : l'affirmation de soi chez les femmes travaillant ou étudiant"
"298";",";"Marie";2012-01-01;"Danièle";NA;"Sant'Egidio, de la protestation militante à la médiation internationale : sociologie d'un acteur émergent de la diplomatie informelle"
"299";",";"Sylvain";2006-01-01;"Gérard";NA;"Hauts fonctionnaires et immigration en France (1962-1981) : socio-histoire d'une domination à distance"
"300";",";"Jean-Michel";2004-01-01;"Robert";NA;"Transformations de l'emploi et modes de sociabilités : le cas du bassin d'emploi de Bellac, Haute-Vienne"
"301";",";"Esther";2003-01-01;"Louis";NA;"L'audition de comparution immédiate : l'organisation des échanges langagiers"
"302";",";"Marie";2002-01-01;"Florence";NA;"Des facteurs et leurs tournées : une élite populaire dans la France de la deuxième moitié du XXème siècle"
"303";",";"Jocelyn";2006-01-01;"Claude";NA;"Les consommateurs français à l'épreuve de la crise de la «vache folle» : une approche sociologique et transdisciplinaire des comportements alimentaires face au risque"
"304";",";"Manuel";2002-01-01;"Michel";NA;"Turbulences, contrôle et régulation sociale : les logiques des acteurs sociaux dans les quartiers populaires"
"305";",";"Gülden Demet";2005-01-01;"François";NA;"La jeunesse turque actuelle : la fin du ""mythe de la jeunesse"""
"306";",";"Séverine";2012-01-01;"Stéphane";NA;"Des politiques aux pratiques d'orientation : enquête ethnographique dans deux collèges de banlieue"
"307";",";"Pascal";2000-01-01;"Jean-Claude";NA;"Les formes et les usages de l'enseignement du dessin de nu aujourd'hui et à travers son histoire : une genèse du regard de l'artiste"
"308";",";"Audrey";2006-01-01;"Geneviève";NA;"Dynamiques organisationnelles d'une politique controversée : une sociologie de la communication publique sur le sida"
"309";",";"Joaquin";2012-01-01;"Jesús";NA;"La colonisation de la Patagonie australe et la Terre de Feu : sources pour une histoire internationale, 1877-1922"
"310";",";"Sébastien";2003-01-01;"Danièle";NA;"Conversions au judaïsme et institutionnalité juive : une sociologie comparée du pluralisme religieux dans le judaïsme contemporain (Israël, France, Argentine, Etats-Unis)"
"311";",";"Gérard";2006-01-01;"Patrick";NA;"Encadrer les crises biographiques irréversibles : les contradictions dans la prise en charge des personnes âgées dépendantes"
"312";",";"Maryse";2002-01-01;"Alain";NA;"L'appartenance et la participation dans un Québec en mutation : l' expérience de deux générations d'origine hai͏̈tienne au cours des années 1990"
"313";",";"Etienne";2013-01-01;"Gérard";NA;"L'implantation de l'islam dans les « quartiers » : contribution à l'analyse du succès d'une offre symbolique"
"314";",";"Sabrina";2016-01-01;"Florence";"Marie";"Entrer et rester dans la course : l'activité d'entraînement du cheval au coeur des recompositions sociales du milieu hippique"
"315";",";"Perrine";2016-01-01;"Yves";"Alain";"Action de rue et expérience politique à Moscou : une enquête filmique"
"316";",";"Irène";2017-02-27;"Gilles";"Alain";"La cité des enfants des rues. Représentations, politiques et expériences des jeunesses urbaines marginales à Mexico et Tijuana."
"317";",";"Beth";2019-04-16;"Michèle";"Nilüfer";"Hors-jeu dans le football féminin au Sénégal : genre, Islam et politique du corps"
"318";",";"Camille";2016-01-01;"Marc";"Pascale";"Quand la prison prend soin : enquête sur les pratiques professionnelles de santé mentale en milieu carcéral en France et en Allemagne"
"319";",";"Florence";2011-01-01;"Danièle";NA;"La construction d'une identité religieuse bouddhiste en Corée du Sud"
"320";",";"Marie-Pierre";2009-01-01;"Stéphane";NA;"«L'esprit » du capitalisme & le corps des lettrés : l'inscription scolaire de l'anglais et sa différenciation XIX - XXe siècles"
"321";",";"Marie";2012-01-01;"Michel";NA;"Le racisme en Corse : quotidienneté, spécificité, exemplarité"
"322";",";"Habibou";2016-01-01;"Louis";"Richard";"Mort tragique d'un grand journaliste : l'affaire Norbert Zongo comme analyseur d'une révolte populaire au Burkina Faso"
"323";",";"Pauline";2015-01-01;"Yves";NA;"Émergence et structuration de l'économie des changements climatiques (1975-2013) : analyse socio-historique d'un nouveau domaine de recherche"
"324";",";"Klara";2017-02-02;"Éric";"Michel";"Devenir afrodescendant à Bogotá Catégories, expériences et entreprises d’identification ethno-raciale en Colombie à l’ère multiculturelle"
"325";",";"Elsa";2019-02-01;"Nicolas";"Jérôme";"""Whatever works"". Sociologie des thérapies cognitives et comportementales"
"326";",";"Anne-Françoise";2014-01-01;"Hamit";"Christophe";"La parole et la dissidence : engagements féminins au sein du Hizbut Tahrir en Indonésie"
"327";",";"Marie";2012-01-01;"Hamit";NA;"Contester sans organisations : stratégies de mobilisation, question sociale et espace de visibilité dans les grèves de l'industrie textile égyptienne 2004-2010"
"328";",";"Jules";2014-01-01;"François";"Christine";"Les politiques publiques d’équité d’accès à l’enseignement supérieur en France et en Angleterre : une étude comparative"
"329";",";"Deniz Günce";2019-06-18;"Michel";"Hamit";"Les acteurs contestataires en Turquie (2007-2014). Mémoire, marginalité, utopie"
"330";",";"Deborah";2016-01-01;"Michel";"Yvon";"Les politiques climatiques et la Panamazonie : l'action des peuples amazoniens et l'économie politique des changements environnementaux"
"331";",";"Giada";2013-01-01;"Claude";NA;"Manger ensemble : les formes et les significations de la commensalité chez des jeunes adultes français, allemands et espagnols d'aujourd'hui"
"332";",";"Hélène";2009-01-01;"Marcel";NA;"Les formes de l'illégitimité intellectuelle : genre et sciences sociales françaises entre 1890 et 1940"
"333";",";"Francois Xavier";2019-12-18;"Nathalie";"Pierre Antoine";"Croire en réseaux dans un nouveau mouvement religieux : l'exemple du mouvement raélien"
"334";",";"Kamel";2017-05-19;"Daniel";"Sébastien";"Les ""cités"" de Montrimond et ses ""bandes de jeunes"". Ethnographie des relations d'amitié, de complicité et d'inimitié dans la proche banlieue parisienne (1970-2015)"
"335";",";"Emmanuel";2017-05-17;"Michel";"Nathalie";"Transfuges de sexe. Genre, santé et sexualité dans les parcours d'hommes et de femmes trans' en France"
"336";",";"Irene Angela";2012-01-01;"Alain";NA;"Alliance et violence : rapports d'autorité sur trois générations au Guerrero et en Oaxaca (Mexique)"
"337";",";"Vincent";2011-01-01;"Pierre-Michel";NA;"Une vie à l'affiche : sociologie du vieillissement en emploi des artistes interprètes"
"338";",";"Émilie";2008-01-01;"Michel";NA;"Concours territoriaux et institutionnalisation de l'emploi public local : (années 1970-années 2000)"
"339";",";"Jeanne";2009-01-01;"Luc";NA;"L'épreuve de l'argent : une sociologie de la banque et de ses clients"
"340";",";"Veronika";2011-01-01;"Irène";NA;"Le domicile conjugal comme source de conflits judiciaires : ce que la face ""honteuse"" du divorce nous enseigne sur le lien matrimonial."
"341";",";"Milena";2011-01-01;"Gérard";NA;"De la victime-idéale à la victime-coupable : traite des êtres humains et sociologie des politiques de la pitié"
"342";",";"Mélanie";2008-01-01;"Michel";NA;"Retour au Japon : migrations des Brésiliens d'origine japonaise et invention identitaire"
"343";",";"Naoko";2012-01-01;"Eric";NA;"Vers une sociologie du mouvement : application de la notation Laban à l'étude des phénomènes collectifs dans le métro parisien"
"344";",";"Romuald";2008-01-01;"Remi";NA;"Sens pratique et sens de la pratique en éducation spécialisée : contribution à l'étude de la gestion collective des différences et des égalités sociales"
"345";",";"Brieg";2012-01-01;"Michel";NA;"Autochtonie et modernité : l'expérience des Innus au Canada"
"346";",";"Oumelkhir";2007-01-01;"Arnaud";NA;"Rapport au travail et dynamique de transformation du métier d'ingénieur dans le contexte algérien : le cas de l'entreprise Sonatrach"
"347";",";"Rojda";2012-01-01;"Hamit";NA;"Stratégies de vie et récréation de « foyer » : le cas de la population kurde déplacée dans les espaces urbains de sa propre région en Turquie (1987-2010)"
"348";",";"Marie-Pierre";2016-01-01;"Farhad";"Fethi";"Du Maghreb à la Californie : trajectoires migratoires, récits d'intégration"
"349";",";"Diogo";2015-01-01;"Daniel";"Luiz Antõnio Machado da";"Anges au fusil : une ethnographie entre Église Pentecôtiste et trafic de drogue à Cité de Dieu, Rio de Janeiro"
"350";",";"Isabelle";2003-01-01;"Gérard";NA;"Institution judiciaire et éducation morale des jeunes de milieu populaire : enquête ethnographique sur deux dispositifs : une Maison de Justice et un dispositif d'insertion de la PJJ"
"351";",";"Vincent";2012-01-01;"Daniel";NA;"Le joug de la lucha : l'ancrage socio-historique du régime castriste : de 1959 à nos jours"
"352";",";"Valérie";2002-01-01;"Pierre";NA;"L' université : un nouvel outil de recomposition urbaine ? : l'exemple du site de la faculté des sciences de Saint-Jérôme dans les quartiers nord de Marseille"
"353";",";"Andrea";2012-01-01;"Willemijn de";NA;"Collines des mille souvenirs : vivre après et avec le génocide perpétré contre les Tutsi au Rwanda"
"354";",";"Bertrand";2005-01-01;"Gérard";NA;"Clubs de vacances et usages sociaux du temps libre : une histoire sociale du Club Méditerranée"
"355";",";"Nora Alejandra";2012-01-01;"Martine";NA;"L'engagement des médecins généralistes à l’égard du dépistage des cancers féminins : un révélateur de leurs positionnements face aux transformations de leur contexte d’exercice"
"356";",";"Régis";2006-01-01;"Michel";NA;"Les enfants de harkis, entre double rejet et triple appartenance : une construction identitaire est-elle possible ?"
"357";",";"Caroline";2004-01-01;"Jacques";NA;"Le troc dans le marché : catégories politiques et échanges inter-entreprises dans la Russie des années 1990"
"358";",";"Claire";2012-01-01;"Gisèle";NA;"Écrire, lire, élire l'Afrique : les mécanismes de réception et de consécration d'écrivains contemporains originaires de pays francophones d'Afrique subsaharienne"
"359";",";"Cédric";2001-01-01;"Michel";NA;"L'incertitude stratégique au quotidien : trajectoire d'entreprise et pratiques de travail : le cas de l'entreprise sidérurgique Cockerill Sambre, 1970-1998"
"360";",";"Anthony";2003-01-01;"Jean-Louis";NA;"La politique incarnée du rap : socio-anthropologie de la communication et de l'appropriation chansonnières"
"361";",";"Olivier";2001-01-01;"Gérard";NA;"Rénovation urbaine et immigration : une intégration sous contrôle : enquête sociologique dans une ville de la banlieue parisienne"
"362";",";"Pénélope";2002-01-01;"Farhad";NA;"Lutte nationale et constructions identitaires : l'expérience des jeunes Palestiniens et Palestiniennes"
"363";",";"Ionela";2005-01-01;"Francine";NA;"Du ""harem"" au ""forum"" : réflexion sur la construction d'une nouvelle identité féminine dans la seconde moitié du XIXe siècle roumain"
"364";",";"Pedro José";2002-01-01;"Isaac";NA;"Formes et conflits d'urbanité à Caracas : enquête sur l'écologie de l'ordre public"
"365";",";"Lucia";2005-01-01;"Anne-Marie";NA;"Une institution littéraire entre exigences artistiques et commande politique : l'Union des Ecrivains de Roumanie à l'époque communiste"
"366";",";"José";2004-01-01;"Bernard";NA;"Le parcours des usagers de drogues : de la rupture à la demande de soin : essai d'analyse du processus"
"367";",";"Marwan";2005-01-01;"Alain";NA;"Relations de dépendance Israël / Etats-Unis après 1967 : le rapport transnational de patronage et la globalisation de l'impasse israélo-palestinienne"
"368";",";"Truyen";2006-01-01;"Rose-Marie";NA;"Politiques de l'État vietnamien et stratégies paysannes : l'exemple du delta du Fleuve rouge (1945-2005)"
"369";",";"Petra";2001-01-01;"Robert";NA;"Les violences conjugales : traitement juridique et individualisation de la prise en charge"
"370";",";"Céline";2005-01-01;"Danièle";NA;"Les controverses religieuses en démocratie : le cas des Témoins de Jéhovah"
"371";",";"Kangbai";2002-01-01;"Michel";NA;"L' utilisation et la place de l'Afrique dans le processus identitaire des Noirs américains : discours interprétatif et négociation culturelle"
"372";",";"Herbert";2004-01-01;"Danièle";NA;"Aspects de la spiritualité en médecine palliative : son rôle dans la pratique des soignants"
