"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"294","Julien",2007-01-01,"François",NA,"Les tribunaux de l’humanité : les ajustements cognitifs dans la mobilisation pour la compétence universelle des juges nationaux"
"295","Robin",2008-01-01,"María-Eugenia",NA,"Les adolescents travailleurs de Lima entre école et stratégies de survie"
"296","Luis Tomas",2002-01-01,"Pierre-Philippe",NA,"La question de l'identité ethnique et la formation de l'Etat-Nation au Mozambique : le cas des Sena de la Vallée du Zambeze"
"297","Tzung-wen",2008-01-01,"Erhard",NA,"Innovation industrielle et communauté d'innovation : études sur l'industrie du semi-conducteur à Taïwan et l'industrie du vaccin en France"
"298","Martine",2005-01-01,"Numa",NA,"Se réaliser : les intermittents du revenu minimum d'insertion entre activités, emplois, chômage et assistance"
"299","Cécile",2000-01-01,"Renaud",NA,"Les temps choisis du travail : dynamiques sociales d'un mode d'engagement au travail à temps partiel"
"300","Aude",2008-01-01,"Vincent de",NA,"Le coût et le goût de l'exercice du pouvoir politique : sociologie clinique des cabinets ministériels"
"301","Wilfried",2010-01-01,"Numa",NA,"Une noblesse psychologique : enquête sur les appropriations sociales du diagnostic de ""précocité intellectuelle"" en France"
"302","Jean-Philippe",2007-01-01,"Christian",NA,"Sociologie du mouvement indien au Brésil : une approche à partir de la théorie du processus politique"
"303","Sylvie",2002-01-01,"Anne-Marie",NA,"Homo-festivus, pélerin culturel, approche sociologique du festival de théâtre et de ses acteurs sociaux"
"304","Michael",2000-01-01,"Raymond",NA,"Les modèles mentaux : étude du raisonnement en situation"
"305","Renaud",2003-01-01,"Pierre Éric",NA,"Entre l'Etat et le marché, le modèle français de service public national en question : les rapports entre les groupes publics et leurs filiales"
"306","Ahmed",2001-01-01,"Pierre-Philippe",NA,"Prosélytisme khareijite et commerce transsaharien : le cas de Siljimassa à l'époque midrarite (VIIIe/Xe siècle)"
"307","Fiorella",2007-01-01,"François",NA,"Les processus de mise en oeuvre des fonds structurels européens à l'épreuve de la cohésion économique et sociale : une comparaisoninterrégionale antre la Sicile et la Sardaigne"
"308","Tong",2010-01-01,"Claude",NA,"Gouverner le travail par la loi ? : l'espace d'action des salariés et le rôle du syndicat au sein des entreprises"
"309","Hyacinthe",2000-01-01,"Anne-Marie",NA,"Les musiciennes d'orchestre : interactions entre représentations sociales et itinéraires"
"310","Xavier",2006-01-01,"Claude",NA,"Vitrines et coulisses des relations bancaires : enquêtes sur des professionnels de l'argent et leurs clients"
"311","Frédéric",2011-01-01,"Philip",NA,"De l' injonction politique à la pratique des acteurs de la justice pénale des mineurs : entre action éducative et sanction de l'acte"
"312","Christophe",2009-01-01,"Benoit",NA,"La justice réparatrice en milieu carcéral : plasiticité d'une fonction et malléabilité d'un concept criminologique"
"313","Jean-Marie",2003-01-01,"Christian",NA,"Logiques sociales et extractivisme : étude anthropologique d'une collectivité de la forêt amazonienne, État du Par'a, Brésil"
"314","Chérifa",2000-01-01,"Claude",NA,"Le libre-échange dans l'agriculture : entre le mythe et la pratique : ou l'Uruguay round, de la norme libre échangiste à la réalité interventionniste"
"315","Mohamed-Raouf",2007-01-01,"Nicole",NA,"De la pauvreté à la précarité : champs discursifs et réalité empirique : approche de la précarité à travers l'appropriation d'un programme de lutte contre la pauvreté à Sidi Bouzid (Tunisie)"
"316","Viviane",2010-01-01,"Louis",NA,"""Sous les plis des drapeaux"", la mosaïque territoriale ? : une analyse infranationale des valeurs, opinions et attitudes en Europe occidentale (1970-1999)"
"317","Séverin",2001-01-01,"Michel",NA,"Sociologie du risque sanitaire dans les abattoirs : des établissements municipaux aux sites industriels de 1869 à 2000"
"318","Ruth",2007-01-01,"Shmuel",NA,"L'image des Juifs sépharades dans l’historiographie juive aux XIXème et XXème siècles"
"319","Asunción",2008-01-01,"Maryse",NA,"Migration, genre et famille transnationale : l'exemple des mères migrantes philippines en France"
"320","Dominique",2002-01-01,"Danièle",NA,"Travail, guerre et relations sociales : la participation salariée à une entreprise : technique de gestion, utopie et engagement de soi"
"321","Caroline",2005-01-01,"Helena Sumiko",NA,"Les dirigeantes dans les organisations sportives : le genre et le sport"
"322","Arnaud",2003-01-01,"Catherine",NA,"Les témoins de Jéhovah à l'épreuve du jugement ordinaire : étude des trajectoires socio-politiques de deux projets immobiliers menés par le mouvement de la Tour de garde en France et aux Etats-Unis"
"323","Vassil",2002-01-01,"Renaud",NA,"La privatisation des entreprises en Bulgarie"
"324","Sabine",2002-01-01,"Marie-Agnès",NA,"Parentalité et travail familial en France et en Allemagne : le parentalisme, nouveau mode de régulation ?"
"325","Ibrahim",2000-01-01,"Pierre-Philippe",NA,"Les contacts arabo-africains de 1895 à 1995 : le cas du Burkina"
"326","Ioulia",2005-01-01,"Jean-Claude",NA,"Isomorphisme de structures du discours sociologique : (exemple d'après la revue ""Sociologitcheskie issledovanya"")"
"327","Ander",2012-07-09,"Alain","Olivier","La politisation de la grande vitesse espagnole (1986-2011) : construction d’un mythe, production d’un consensus, émergence d’une controverse"
"328","François",2002-01-01,"Erhard",NA,"Sur les conséquences techniques d'un changement d'organisation : modernisation des secteurs de conception et évolution des objets techniques : le cas des moteurs"
"329","Patrick",2002-01-01,"Erhard",NA,"Normaliser les pratiques, organiser les médecins : la qualité comme stratégie de changement : le cas des centres de lutte contre le cancer"
"330","Michel",2004-01-01,"Erhard","Denis","Fragile contrôle : approche sociologique des efforts de contrôle dans trois organisations"
"331","Mathilde",2014-12-05,"Alain","Cécile","Gouverner dans un monde fini : des limites globales au rationnement individuel, sociologie environnementale du projet britannique de politique de Carte carbone (1996-2010)"
"332","Robert C.",2012-01-01,"Michael",NA,"L'économie de l'entrepreneuriat : approche concernant les coûts d'information à la création de modes de gouvernance internationaux"
"333","Caroline",2016-12-02,"Anne-Catherine","Agnès","Les scolarités des fortunes internationales entre refuge et placement : socio-histoire des pensionnats privés suisses"
"334","Deede",2017-10-05,"Marc","Valérie","La gestion et la prévention du stress professionnel et des RPS dans les TPE et les grandes entreprises"
"335","Christophe",2013-01-08,"Frederik","Jean-Pierre","Entre Crocs et Kros : analyse sociologique du compagnonnage entre l'exclu et son chien"
"336","Rhoda Lucie",2018-04-03,"Jean-Paul","Marc","La société des eaux cachées du Saïss : l’analyse d‘un basculement autour de l’extraction des eaux souterraines profondes au Maroc"
"337","Ronald",2012-09-28,"Jean-Pierre","Catherine","Les stratégies d'adaptation par l'innovation micro sociale"
"338","Pablo",2016-11-15,"Danilo","François de","Tensions et paradoxes d'un processus d'individuation sexuelle : le cas de l'éducation sexuelle et affective dans les écoles catholiques d'élite à Santiago du Chili"
"339","Juliana Lúcia",2016-10-25,"Michel","Patrick","Développement, culture et communication : liens et enjeux de la collaboration scientifique dans un cadre international, public-organisationnel et interculturel : une étude des relations personnelles : le point de vue des fonctionnaires de l'EMBRAPA et du CIRAD"
"340","Voahirana Tantely",2013-12-13,"Frédéric","Marc","Structures familiales, organisation des activités et développement en milieu rural malgache"
"341","Arnaud",2014-05-20,"Antoine","Jean-Louis","La participation associative dans les quartiers populaires : associations, problèmes publics et configurations politiques locales dans la périphérie urbaine de Paris et de Buenos Aires"
"342","Zahra",2014-01-01,"Azadeh",NA,"La conduite du pouvoir local dans la cité : étude de deux cas de la démocratie participative en France et en Iran"
"343","Gabriele",2011-01-01,"Régine",NA,"Les rapports sociaux de service dans l'hôtellerie haut de gamme : tensions entre mise en scène de l'accueil et pratiques de travail"
"344","Juliana",2017-12-11,"Pierre","Marcos","La multitude et le prolétariat depuis les Forums sociaux mondiaux de 2001 à 2016 : élaboration, actualisation et anticipations d'utopie"
"345","Maud",2016-12-14,"Dominique","Vincent","Classer pour soigner ? Savoirs d'Etat, idéologie préventive, raisons pratiques : enquête sociologique sur le dépistage du sida."
"346","Haude",2018-03-12,"Régine","Arnaud","Les hommes en bleu : une ethnographie des masculinités dans une grande entreprise de distribution"
"347","Abdelilah",2015-09-25,"Pierre-Philippe","Ahmed","Les parcours scolaires des enfants issus de l'immigration maghrébine en France : le cas des quartiers défavorisés de l'Ile de France"
"348","Mahamadou",2019-12-03,"Claire","Catherine","Les relations afro-maghrébines du foyer au quartier : la fraternité islamique à l’épreuve du quotidien"
"349","Alena",2016-11-17,"Aïssa","Indus","L’influence du Front islamique du salut sur la position internationale de l’Algérie (1989-2009)"
"350","Daniela",2016-02-18,"Alain","Ana Paula","Le marché de l'art contemporain à Rio de Janeiro et São Paulo : analyse sociologique"
"351","Kusuk",2016-11-29,"Alain",NA,"Etre exotique dans l'art contemporain : la scène internationale de l'art et trois pays d’Asie – Japon, Corée du Sud et Chine – dans la mondialisation : création et stratégies de diffusion"
"352","Azzeddine",2017-02-09,"Aïssa","Aïcha","Identité et réception numérique en milieu scolaire : usages et représentation du fait religieux à travers les réseaux sociaux"
"353","Bruno",2009-09-17,"Christian","Rodolfo","Autonomie et éducation indienne : les écoles zapatistes dans les vallées de la forêt Lacandone au Chiapas (Mexique)"
"354","Patrick",2012-01-01,"Yves",NA,"Négocier la démocratie au quotidien : élites politiques, forces sociales et citoyens ordinaires dans les arènes locales au Bénin"
"355","Quanbi",2014-01-01,"Claire",NA,"La question du logement dans la ville chinoise au coeur des mutations urbaines : une sociologie des nouveaux modes d'habiter entre héritage et modernité : le cas de Pékin"
"356","Dominique",2010-01-01,"Alain",NA,"Esprit, origines et fondation de la sociologie positive : Penser la liberté de l'homme en société dans la nature et l'histoire"
"357","Vincent",2016-10-14,"Dominique","Nicoletta","La consommation des fruits et des légumes frais : regards de la sociologie professionnelle sur une pratique de la vie quotidienne"
"358","Jeanne",2014-10-30,"Dominique","Renaud","Le jeu sous contrôle : analyse sociologique des formes de régulations à l'oeuvre dans la pratique contemporaine du poker en France"
"359","Élodie",2018-12-20,"Jane","Delphine","Les violences de genre en contexte de migrations forcées : les réfugié·e·s rohingyas de Birmanie : sociologie critique de l’aide humanitaire en Malaisi"
"360","Laure",2016-12-08,"Alain","Philippe","Quand l'énergie change de mains : socio-anthropologie de l'autonomie énergétique locale au moyen d'énergies renouvelables en Allemagne, Autriche et France"
"361","Stéphanie",2006-01-01,"Christine",NA,"Echanger et argumenter : les dimensions politiques du gouvernement des universités françaises"
"362","Francisco Orlando",2000-01-01,"Michael",NA,"Crise et restructuration de la gauche chilienne dans les années 70-80 : un essai sur les perspectives du changement social dans le Chili des années 90"
"363","Mathieu",2009-01-01,"Bernard",NA,"Un siècle d'intermittence et de salariat. Corporation, emploi et socialisation : sociologie historique de trois horizons d'émancipation des artistes du spectacle (1919-2007)"
"364","Anne",2006-01-01,"Mateo",NA,"Les stratégies de l’euro-syndicalisme sectoriel : étude de la coordination salariale et du dialogue social"
"365","Anne",2000-01-01,"Jacqueline",NA,"L'offre éthique : une production de l'ordre économique"
"366","Elodie",2006-01-01,"Jean-Pierre",NA,"Le dévoiement des ""savoir-être"" : usages sociaux et managériaux des compétences en entreprise"
"367",NA,2000-01-01,"Jean-Claude",NA,"Le retour des exilés laotiens"
"368","Patricia",2004-01-01,"Philippe",NA,"Sociologie des rôles de l'avocat sur la scène pénale des mineurs"
"369","Christina",2002-01-01,"Françoise",NA,"Une lecture comparative des relations professionnelles en France et en Allemagne : la dynamique des relations professionnelles et leurs enjeux sociétaux : l'analyse sociétale peut-elle constituer un outil d'examen des relations professionnelles dans une perspective comparative ?"
"370","Laia",2008-01-01,"Bruno",NA,"= La représentation de la femme de pouvoir dans les arts et la fiction : Cléopâtre : un exemple pour l'analyse intertextuelle"
"371","Florence",2001-01-01,"Bernard",NA,"Pouvoirs locaux et politiques culturelles : changements et synergies dans le système culturel local"
"372","Olivier",2007-01-01,"Norbert",NA,"La désobéissance dans une organisation d’ordre : l’exemple du conflit des gendarmes de décembre 2001"
"373","Eleni-Hristina",2003-01-01,"Nicole",NA,"La Grèce rurale contemporaine : monographies de trois villages"
"374","Jean-Samuel",2006-01-01,"Catherine",NA,"La construction du marché de la musique en ligne : l'insertion économique et juridique des innovations de diffusion musicale en France"
"375","Azdine",2007-01-01,"Françoise",NA,"La prise en charge des cadres au chômage : former des chômeurs compétents, maintenir le statut, orienter vers un emploi?"
"376","Sonia",2002-01-01,"Isaac",NA,"Façons de faire, façons de parler : pratiques et interactions verbales en brocante"
"377","Brahim",2004-01-01,"Patrick",NA,"L'économie contre la culture ? : les délocalisations industrielles françaises au Maroc : études monographiques dans deux villes (Casablanca et Agadir)"
"378","Claire",2007-01-01,"Eliana",NA,"Lorsque les troubles psychiques deviennent un handicap : le salarié et l'entreprise à l'épreuve du maintien dans l'emploi : le cas de cinq grandes entreprises menant des politiques en faveur des travailleurs handicapés : Air France, EDF, IBM, SNCF et Total"
"379","Amélie",2010-01-01,"Catherine",NA,"Conversions à l'islam et islams de conversion : dynamiques identitaires et familiales"
"380","Vincent",2002-01-01,"François",NA,"L'État-nation à l'épreuve du miroir de l'Armée : perceptions et représentations du déclin de l'armée de masse dans les discours des députés français (1962-1997)"
"381","Cédric",2004-01-01,"Philippe",NA,"Le travail à l'épreuve des possibles"
"382","Tahani",2003-01-01,"Hugues",NA,"Pluriactivité et agriculture familiale : réalités sociales, questions théoriques, et études de cas"
"383","Géraldine",2010-01-01,"Louis",NA,"Les identités enseignantes à l' épreuve du temps : les transformations intergénérationnelles d'un groupe social (1970-2010)"
"384","Cécile",2009-01-01,"Yves",NA,"Appropriation de l'espace et prise de parole : enquête socio-ethnographique sur la participation des habitants dans un quartier de grand ensemble à Berlin-Est"
"385","Adrienne",2010-01-01,"Catherine",NA,"Société civile et activisme mondial : une étude des ONG transnationales"
"386","Frédéric",2007-01-01,"Michel",NA,"Les dynamiques locales de la négociation collective : processus émergents de régionalisation et relations professionnelles"
"387","Cristina",2001-01-01,"Marcel",NA,"Le mouvement professionnel agricole moderne en Espagne : entre régionalisation et construction européenne (1989-2000)"
"388","Luc",2000-01-01,"Nicole",NA,"Sociabilité et citoyenneté en milieu rural : analyse dans le cadre de trois communes de Midi-Pyrénées, révélatrices des dynamiques sociales des campagnes d'aujourd'hui"
"389","Vanessa",2001-01-01,"Numa",NA,"Le métro, le café, la maison : triptyque d'une sociologie de la précarite"
"390","Charlotte",2012-01-01,"Numa",NA,"Le choix d'une vie sans enfant : des individus confrontés aux normes sociales et de genre"
"391","Christian",2001-01-01,"Alain",NA,"Georg Simmel, Marcel Mauss : éléments pour une approche sociologique de la relation humaine"
"392","Aurélia",2006-01-01,"Martine",NA,"La socialisation corporelle des préadolescentes"
"393","Jean-François",2004-01-01,"Catherine",NA,"Les fondements des systèmes français d'allocations familiales"
"394","Nicoletta",2006-01-01,"Catherine",NA,"Le croquis et la toile : un regard organisationnel sur la création de la mode dans le monde"
"395","Sébastien",2001-01-01,"Philippe",NA,"Analyse sociologique des essais thérapeutiques : stratégies des firmes, recherche clinique et activisme thérapeutique : les médicaments contre le virus du SIDA en France"
"396","Alexandre",2011-01-01,"Pierre",NA,"La coproduction de l'action locale : cas de la micro-région Côte-sous-le-vent en Guadeloupe"
"397","Elisabeth",2006-01-01,"Jean-Didier",NA,"Du côté de chez soi, les vacanciers fidèles de la proximité, une espèce en voie de disparition : étude monographique au Trez-Hir, station littorale finistérienne"
"398","Véronique",2000-01-01,"Michel",NA,"L' utilisation des contrats temporaires en milieu industriel : implications des logiques de fonctionnements organisationnels sur les comportements du personnel temporaire"
"399","Marwan",2007-01-01,"Philippe",NA,"La place des familles dans la formation des bandes de jeunes"
"400","François",2004-01-01,"Hugues",NA,"Le lien communautaire, le coeur du phénomène districal : application à l'agriculture"
"401","Jérôme",2004-01-01,"Jean-Pierre",NA,"La fabrique des professeurs : genèse des styles enseignants"
"402","Bénédicte",2000-01-01,"Gérard",NA,"L'exclusion : genese d'une problematique"
"403","Jean-François",2009-01-01,"Louis-André",NA,"Formation et dissolution des couples en France dans la seconde moitié du XXe siècle : une évaluation empirique du pouvoir explicatif de la théorie du choix rationnel"
"404","Camille",2007-01-01,"Alain",NA,"La mobilité sociale descendante : l'épreuve du déclassement"
"405","Laurence",2008-01-01,"Martine",NA,"La médicalisation contemporaine du corps féminin : le cas de la consultation gynécologique"
"406","Françoise",2002-01-01,"Michel",NA,"L'idéal communautaire, mythe fondateur et utopie créatrice : essai de mythosociologie"
"407","Dan",2004-01-01,"Shmuel",NA,"Orthodoxie et hétérodoxie dans le judaïsme ancien : Judéo-Chrétiens et Amei-Ha-Aretz dans la littérature juive des premiers siècles"
"408","Francisco Eduardo",2008-01-01,"Helena Sumiko",NA,"Formes et expériences de privation de travail au Brésil : la construction sociale du chômage dans la perspective d'une sociologie des rapports sociaux"
"409","Alexandra",2008-01-01,"Michel",NA,"Modernisation du sercice public et évolutions des relations professionnelles dans la fonction publique territoriale : permanence et recomposition d'une municipalité de la région parisienne"
"410","Felicia",2002-01-01,"Bruno",NA,"Enfants de dedans, enfants de dehors : naissances marginales et difficultés d'intégration chez les Mossi au Burkina Faso"
"411","Fabienne",2006-01-01,"Benoit",NA,"Construire sa place : le processus de stabilisation de nouveaux intervenants du social"
"412","Guillaume",2011-01-01,"Pierre",NA,"Le Choeur partagé : le chant choral en France, intégration socio-économique d'un monde de l'art moyen"
"413","Cécile",2001-01-01,"François de",NA,"L'accouchement sous X : les débats parlementaires de 1992 à 1996 comme révélateurs des représentations de la famille et de l'individu"
"414","Chu-Hsiung",2007-01-01,"Sylvaine",NA,"La formation du Sujet sous l’emprise du pouvoir économique : Comparaison entre Shanghai et Taipei"
"415","Céline",2007-01-01,"Daniel",NA,"Flexibilisation du travail et relations sociales"
"416","Elsa",2004-01-01,"Erhard",NA,"La décision en contexte de choix dramatique : le cas des décisions d'arrêt de vie en réanimation néonatale"
"417","Anna",2000-01-01,"Marc",NA,"Les immigrés italiens dans le nord de la France après 1945"
"418","Régis",2008-01-01,"Bruno",NA,"Sociologie d'une entreprise de conversion : Analyse de la genèse et du processus de routinisation de la Mission Évangélique Tsigane de France"
"419","Isabelle",2007-01-01,"Francis",NA,"Le médecin généraliste dans le travail médical de premier recours : entre logiques de clientèles et dynamiques locales : les cas de quatre espaces relationnels en médecine générale"
"420","Tamatoa",2001-01-01,"Michel",NA,"Revendications foncières : les temporalités constitutives et leurs dynamiques dans le champ social semi-autonome des îles australes (Polynésie française) aujourd'hui"
"421","Habibatou",2010-01-01,"Dan",NA,"Le décrochage scolaire et le destin des filles au Mali de 1995 à 2005"
"422","Stéphane",2012-11-29,"Pierre","François","Légitimité et légitimation. Une théorie wébérienne de la légitimité du politique"
"423","Sophie",2013-01-01,"Florence","Vincent de","La construction de soi de descendants de migrants vietnamiens nés dans le pays d'accueil (France, Canada-Québec) : approche psychosociale clinique"
"424","Hervé",2012-10-19,"Bernard","Antigone","« Niche Writers » : Une étude sociologique des niches sociales d’auteurs à New York et à Paris"
"425","Sophie",2014-09-12,"Gérard","Victor","Représentations et usages des armements contemporains : pour une socio-anthropologie de la complexité technique"
"426","Agnès",2012-01-01,"Régine",NA,"Les médecins de l'éducation nationale : une professionnalité originale au cœur des pratiques collectives de la santé à l'école"
"427","Maxime",2013-03-04,"Alain","Jean-Michel","Le métal et la chair : anthropologie des prothèses informatisées"
"428","Inna Gabrielle",2012-06-28,"Stephen","Roland","Salariat féminin au Gabon : modernité et réinvention des traditions"
"429","Diane",2017-12-04,"Valérie","Marie","""Qu'est-ce qu'on vous fait aujourd'hui ?"" : un ethos professionnel des coiffeurs : entre travail émotionnel, relation de service et dispositions genrées et de classe : le cas des coiffeurs"
"430","Simon",2018-05-18,"Claire","Pap","Des loan sharks aux banques : croisades, construction et segmentation d'un marché du crédit aux États-Unis, 1900-1945"
"431","Hadrien",2018-12-04,"Didier",NA,"Aux guichets du temps partiel : transactions temporelles dans le service public d'emploi allemand et français"
"432","Manuelle",2018-12-18,"Jean-Paul","Louis","L’« expérience publique de l’environnement » : une analyse des expérimentations au sein de deux espaces naturels protégés habités, en France et au Brésil"
"433","Verónica",2014-01-10,"Christian","Luis","La pensée institutionnelle sur les peuples autochtones. : Les cas de l’UNESCO et de la FAO (1945-2012)"
"434","Yves",2013-01-01,"Vincent de",NA,"Recul des collectifs et montée du mal-être au travail : individualisation, souffrance et logiques d'évitement du collectif"
"435","Marie",2018-10-02,"Sophie","Ève","La lutte contre le gaspillage alimentaire en France et aux Etats-Unis : mise en cause, mise en politique et mise en marché des excédents alimentaires"
"436","Alice",2018-11-30,"Agnès","Clotilde","Étudiants singuliers, hommes pluriels : orientations et socialisations masculines dans des formations ""féminines"" de l’enseignement supérieur"
"437","Alice",2018-10-01,"Sophie","François","Vendre de l’air : sociologie du marché ""volontaire"" des services de compensation carbone"
"438","Anne van der",2018-09-14,"Pierre","Cornelia","Gérer les risques financiers : protéger l'organisation"
"439","Lorraine",2019-12-11,"Marco","Céline","""Pour vivre heureux, vivons cachés"" : pratiques résidentielles, styles de vie et rapports de genre chez les classes supérieures du pôle privé"
"440","Awaz",2016-11-28,"Pierre-Jean","Joyce","Le passage d'une confrérie soufie au politique : la Kasnazâniyya au Kurdistan-Irak (1979-2014)"
"441","Claire",2017-05-24,"Éric","Daniel","L'engagement étudiant dans un monde d'individualisation : construction identitaire et parcours politiques"
"442","Sidali",2006-01-01,"Aïssa",NA,"Projet de maison, projet de retour : production et pratiques de l'espace chez les migrants algériens"
"443","Sebastian",2017-01-31,"Claire","Philippe","Le marché et la règle : l'encadrement juridique des relations entre la grande distribution et ses fournisseurs"
"444","Josué",2018-06-01,"Marco","Anne","Les Africains sont dans la place : mises en scène de la vie privée dans les espaces publics d'Aubervilliers"
"445","Thomas",2015-11-23,"Pierre","Philippe","La pâte et le décor : considération et formes professionnelles dans le monde des pâtissiers"
"446","Scott",2016-12-14,"Pierre","Pascale","Structurer un secteur industriel : le rôle de l’Etat dans la recomposition du secteur de l’énergie en France, de 1986 à 2016"
"447","Malka",2019-04-18,"Olivier","Sandrine","S'organiser après les catastrophes : la (ré)émergence de l'organisation au sein de l’État après Katrina (2005) et le tsunami du Touhoku (2011)"
"448","Rachel",2014-01-01,"Gérald",NA,"Incertitudes et croyances : approche sociologique des phénomènes d'adhésions et de réadhésions religieuses en prison"
"449","Victor M.",2009-12-07,"Christian","Yvon","Paysans et citoyens. Stratégies paysannes de résistance à la mondialisation dans l'ouest du Chihuahua, Mexique"
"450","Damien",2014-05-16,"Éric de","Jérôme","Une indicible monstruosité : étude de cas de la contreverse médiatique autour d'Oscar Pistorius (2007-2012 en France) (2007-2012 en France)"
"451","Denis",2015-04-08,"Jean-François","Lilian","Coupables d'être vulnérables, les motocyclistes face aux politiques de sécurité routière en France et en Europe"
"452","Amévi",2014-12-17,"Jane","Véronique","Le genre et la question identitaire dans les crises et conflits en Afrique subsaharienne : cas du Togo et de la Côte d'Ivoire"
"453","Agnieszka anna",2016-07-06,"Rémy","Roser","Les usages de l'ésotérisme en France et en Pologne."
"454","Ingrid Orphise",2018-03-23,"Claude","Janine","Comment devenir femme politique au Gabon : socialisation, conquête et conservation du pouvoir"
"455","Tarik",2015-12-11,"Claude","Michel","Islam, lien social et délinquance dans les quartiers défavorisés d'Ile-de-France"
"456","Emmanuelle",2017-12-11,"Michel","Michel","Improviser sur son usage de drogue : la subjectivation des expériences de l'usage de substances psychoactives illicites en rave-parties (1990-2010)"
"457","Tiphaine",2015-12-11,"Gail","Sylvie","Usages et mésusages des théories du sexuel dans le discours et la clinique ""psy"" en France contemporaine"
"458","Faustin-Noël",2016-06-22,"André","Isidore","L' implantation missionnaire au Congo-RDC : de l' assistance à l'autonomie financière. Une approche socio-historique"
"459","Marion",2009-12-08,"Michel","Christian","Migration, réseaux transnationaux et identités locales : le cas des Colombiens à New York"
"460","Géry",2013-11-07,"Élisabeth","Pascal","Extension du domaine de la finance ? : partenariats public privé (PPP) et ""financiarisation"" de la commande publique : une proposition d'analyse par la sociologie économique"
"461","Matthew James",2015-05-19,"Jean-Philippe","Jean-Louis","Vers une nouvelle ruralité : urbanisation et changements dans l'agriculture dans le centre du Mexique"
"462","Simon",2019-02-08,"Anne","Christian","Les sens de la liberté d’expression : socio-anthropologie comparative des campus de Berkeley et de Nanterre : appropriations, retournements, récupérations, recompositions et prolongements des mémoires collectives du Free Speech Movement de 1964 et du Mouvement du 22 Mars de 1968"
"463","Solène",2019-05-22,"Mirna","Patrick","Trouble dans la race : construction et négociations des frontières raciales dans deux types de familles mixtes en France"
"464","Claire",2018-11-29,"Mirna","Philippe","Expat' à Abu Dhabi : blanchité et construction du groupe national chez les migrant.e.s français.es"
"465","Francesco",2019-10-25,"Cornelia","Michael","Le financement de l’équipement en infrastructures métropolitaines : les politiques de gouvernance à Londres et à New York"
"466","Alessandro",2019-03-26,"Patrick","Enzo","La régulation des plates-formes logistiques urbaines : la gouvernance urbaine des marchés de gros alimentaires en France et en Italie : les cas de Paris (Semmaris) et Milan (Sogemi)"
"467","Nicolas",2010-06-17,"Lucie","Nicole","De la couturière au grand couturier. Du lycée professionnel aux écoles de stylisme"
"468","Christophe",2017-03-27,"Didier","Denis","Les pulsations de la mobilité en entreprise : entre reconfiguration d’un marché interne et constitution d’un régime d’épreuve à la mobilité professionnelle"
"469","Guillaume",2011-06-09,"Nathalie","Pierre","Enjeux et dynamiques de la mise en œuvre de stratégies d’adaptation aux changements climatiques en milieu urbain : les cas de Montréal et Paris"
"470","Sylvain",2015-10-23,"Didier","Catherine","Expatriation et relation éducative : les enseignants français dans la mondialisation"
"471","Germain",2012-01-01,"Emmanuel",NA,"L'« esquive » du politique des jeunes français et sa relation avec le conformisme dans la sphère privée (étude empirique)"
"472","David",2012-04-30,"Jean","Olivier","Les bamakois diplômés de Paris"
"473","Arthur",2016-03-07,"Bertrand",NA,"Genre et rapports de pouvoir dans l'institution judiciaire : Enquête sur le traitement institutionnel des déviances adolescentes par la justice pénale et civile dans la France contemporaine"
"474","Jérémy",2017-10-17,"Marie","Dominique","La question sociale en santé : L'hôpital public et l'accès aux soins des personnes en marge du système de santé en France à l'aube du XXe siècle"
"475","Emilien",2016-06-20,"Michel","Christine","Construire une économie de la recherche sur projets. L’installation de l’Agence Nationale de la Recherche en France et ses conséquences dans les domaines de la génomique végétale et de la chimie durable"
"476","Margot",2018-05-14,"Stéphane","Yves","La perspective de l’autonomie : la critique radicale de la représentation et la formation du commun dans l’expérience de l’occupation de la ZAD de Notre-Dame-des-Landes"
"477","Clarissa",2012-06-29,"Michel",NA,"Histoires de vieux : Un regard sur le quotidien des personnes âgées au Brésil"
"478","Séverine",2012-02-17,"Jan","Danilo","Devenir un bon pauvre : Analyse genrée de la prise en charge des personnes sans domicile"
"479","Haley",2016-11-21,"Mirna","Philippe","L’incorporation spatiale des immigrés en France : étude des déterminants des trajectoires résidentielles"
"480","Hadrien",2012-11-23,"François de","Danilo","S’aider soi-même en aidant les autres : Le bénévolat : un espace de construction de soi et de réalisation personnelle"
"481","Laura",2012-10-08,"François de","Danilo","Le processus de conquête de l'individualisme : les femmes espagnoles dans le passage de la première à la seconde modernité"
"482","Elsa",2019-07-09,"Christine","Philippe","L'enjeu de la qualité dans l'enseignement supérieur saoudien : l'instrumentation de l'action publique"
"483","Jan",2017-10-13,"Élisabeth","Franck","Gouverner l'humanitaire : une sociologie politique du monde des acteurs de l’aide en Haïti (2010-2016)"
"484","Elsa",2012-11-26,"Denys","Dominique","Les entrepreneurs libanais à Sao Paulo (Brésil) : une mobilité sociale ascendante"
"485","Cécile",2013-02-22,"Denys","Pilar","La migration et les émotions : Les sentiments d’appartenance du genre et à la nation des migrants argentins à Miami et à Barcelone"
"486","Raphaël",2013-03-21,"Alain",NA,"Le jeu vidéo comme manière d'être au monde : socio-anthropologie de l'expérience vidéoludique"
"487","Riad",2003-01-01,"Hugues",NA,"Pasteurs et agro-pasteurs du semi-aride algérien : entre tradition et modernité : le cas de Djebel Amour"
