"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"304","Diana",2016-03-25,"Jean-Pierre","Jens","Travailleurs, gestionnaires d'établissements hôteliers et institutions publiques : les acteurs du turnover dans le secteur de l'hôtellerie et de la restauration en Andorre"
"305","Aline Grâce",2014-01-15,"Arlette","Érik","Pouvoir et pratiques associatives en milieu urbain : étude socio-ethnographique des regroupements de femmes comme espace d'accumulation et de construction du pouvoir."
"306","Gildas",2014-12-10,"Joëlle","Francis","Les skinheads, du phénomène de mode au phénomène social"
"307","Antoine",2015-12-09,"Didier","Virginie","Les vies de Guy Hocquenghem : Sociologie d'une trajectoire à l'intersection des champs politiques, culturels et intellectuels français des années 1960 aux années 1980"
"308","Manel",2018-06-18,"Ghislaine","Catherine","Habiter la grotte à Tataouine (sud tunisien) : de la maison creusée à la maison construite"
"309","Djaouida",2018-10-11,"Françoise","Catherine","Les associations de femmes face aux inégalités de genre en Algérie"
"310","Clémence",2018-12-11,"Christine","Stéphane","La culture scientifique des enfants en milieux populaires : étude de cas sur la construction sociale du goût, des pratiques et des représentations des sciences"
"311","Nelly",2018-12-12,"Chantal","Thierry","De la forêt-productive à la forêt-système-vivant : analyse des transformations des représentations et normes des modes de gestion forestière : l'exemple des forêts méditerranéennes françaises"
"312","Abdoul-Malik",2019-04-26,"Annie","Delphine","Agencéité et stratégies des ""plus faibles"" : les femmes comoriennes dans le commerce à la valise"
"313","Elsa",2018-11-06,"Frédéric",NA,"Les griffes et le couturier : Représentations et usages contrastés de l'animalité dans l'iconographie de la mode"
"314","Sarah",2018-11-16,"Romuald","Jay","Science et politique des ""soft skills"" de l'éducation à l'emploi : sociologie d'un nouveau motif cognitif international"
"315","Faten",2018-12-19,"Sylvie","Chokri","La prostitution clandestine à Sfax : migration, santé et économie informelle"
"316","Jérémy",2018-05-28,"Claire","Thierry","Les réseaux personnels des jeunes : formes de sociabilité et parcours inégaux"
"317","Barbara",2015-12-16,"Sylvia","Rosantonietta","Les événements off diffus sur le territoire des villes métropoles européennes : entre marketing urbain et identité locale"
"318","Elise",2015-12-03,"Patrice","Pascal","La prolifération de moustiques vecteurs sur le littoral méditerranéen et dans les départements français d’Amérique : enjeux environnementaux et sanitaires"
"319","Olivier",2006-01-01,"Yvon",NA,"Etre architecte : les vertus de l'indétermination : de la sociologie d'une profession à la sociologie du travail professionnel"
"320","Guy Donald",2014-12-06,"Ahmed","Joseph","Religion locale et pouvoir politique au Gabon : cas du rite Ndjobi chez les Mbede"
"321","Emmanuel",2018-11-26,"Daniel","Anne-Marie","Vieillissements pluriels : Expériences des ""parents"" âgés Sénégalais en cours de fragilisation"
"322","Elise, Cécile",2006-01-01,"Liane",NA,"Faire entendre sa voix dans l'arène politique locale : les ressorts de l'engagement public par la médiation interculturelle"
"323","Marie Aurore Agnès",2010-01-01,"Suzie",NA,"Gangs, communautés, sociétés : analyse et interprétations de la sociologie de Chicago"
"324","Manuel",2006-01-01,"Bernard",NA,"De l'ordinateur personnel aux communautés en ligne : s'orienter dans les mondes informatiques"
"325","Laurence",2003-01-01,"François",NA,"Evolution des systèmes productifs et intérim cadre-professions intermédiaires : enjeux et stratégies des acteurs face à de nouvelles pratiques de travail et d'emploi"
"326","Catherine",2000-01-01,"Wadi",NA,"Oeuvres romanesques et critiques journalistiques : contribution à une sociologie du discours critique dans la presse écrite et à la télévision"
"327","Paul",2002-01-01,"Jean-Claude",NA,"Urbanité et civilité : Un essai d'interprétation des nouvelles politiques urbaines (1978-1998)"
"328","Martin",2010-01-01,"Pascal",NA,"Socio-anthropologie des socialisations funéraires juvéniles et du vécu intime du deuil : les jeunes face à la mort d'un(e) ami(e)"
"329","Marie-Pierre",2009-01-01,"Nicky",NA,"Comparer pour comprendre : la différentiation sexuée des parcours professionnels et familiaux des enseigant-e-s du second degré en France et en Angleterre"
"330","Jonas",2008-01-01,"Freddy",NA,"Emergence d'identités judéo-noires : l'exemple des Lemba ""peuple juif d'Afrique"""
"331","Marie-Laure",2005-01-01,"Philippe",NA,"L'identité sexuée : constructions et recompositions : La sexualité comme analyseur"
"332","Alexandre",2003-01-01,"Jean-Yves",NA,"Évolution et dynamique de la profession d'huissier de justice des années 1970 à nos jours"
"333","Christian",2000-01-01,"Jean-Michel",NA,"Logiques du dénuement : réflexion sociologique sur les liens de la pauvreté et du temps"
"334","Denis",2002-01-01,"Jean",NA,"L'invention des traditionalismes : étude anthropologique du développement des utilisations contemporaines de la notion de tradition : contexte générale et cas de la Picardie"
"335","Judith",2009-01-01,"François",NA,"Les enfants en situation de rue à Libreville au Gabon"
"336","Delphine",2008-01-01,"Jean-Bruno",NA,"Les pratiques ludiques de simulation de rôles : reflet et trajet de l'esprit du temps : jeux de rôles, jeux vidéo de rôles et d'aventures, jeux de rôles en ligne massivement multijoueurs"
"337","Marie",2009-01-01,"Alain",NA,"A la vie, à la mort"
"338","Franck",2008-01-01,"Maurice",NA,"La part d'ombre : transactions et conflits entre les usages informels et les opérations de rénovation de la muraille de Theodose II à Istanbul"
"339","Karine",2004-01-01,"ʿAlī al-",NA,"Les réfugiés cambodgiens de la région des Pays de la Loire : étude ethnographique d'une immigration de "" bonne réputation """
"340","Cédric",2010-01-01,"Franck",NA,"Qu'offre la demande ? : socio-économie d'une innovation par l'usager"
"341","Maud",2000-01-01,"Michel",NA,"Les mondes sociaux du ""travail citoyen"" : sociologie comparative de la pratique benevole en france et aux etats-unis"
"342","Stéphane",2007-01-01,"Jean-Pierre",NA,"Des différentes modalités de l’expérience minoritaire dans l’espace urbain d’une Zone d’Education Prioritaire : les effets paradoxaux d’une action positive"
"343","Marie-Claude",2003-01-01,"Bruno",NA,"L'artiste : des représentations, un mythe : étude de l'évolution des représentations de l'artiste au XXème siècle dans la société française, vue à travers les biographies de peintres"
"344","Sébastien",2006-01-01,"Christian de",NA,"Etudes et politique : les effets de la carrière étudiante sur la socialisation politique"
"345","Mohamed Omar",2008-01-01,"Gilles",NA,"La violence scolaire : enquête sur les lycées à Tripoli"
"346","Sarah",2005-01-01,"Jean",NA,"Le Guatemala après les accords de paix : approche sociologique des transformations sociales : l'exemple de San Andrés Sajcabaja"
"347","Thierry",2004-01-01,"François","Charles-Henry","Analyse sociologique du sentiment de crise chez les travailleurs sociaux"
"348","Luc-Michel",2001-01-01,"Alain",NA,"Les nouveaux mouvements religieux (N. M. R. ) et les nouveaux mouvements sociaux (N. M. S. ) dans le procès de mondialisation : pour une phénoménologie sociologique des mutations de la modernité (XIX-XXèmes siècles)"
"349","Cristiana",2009-01-01,"Christian",NA,"Tourisme des traditions : étude de cas du tourisme équestre au Portugal"
"350","Julien",2007-01-01,"Annie",NA,"Émotions et rituel dans le travail des pompes funèbres : contribution à la sociologie des émotions"
"351","Laura",2007-01-01,"François","Didier","La troisième voie : la justice pénale face à ses dilemmes"
"352","David",2003-01-01,"François","Michel","Management et expérience du travail : enquête dans trois grandes entreprises"
"353","Christian",2005-01-01,"Michel","François","Éducation à la santé à l'école : processus de réflexivité, conformité et convenance dans les projets de médiation sanitaire en milieu scolaire"
"354","Elisabeth",2005-01-01,"Paul",NA,"Tous commerciaux ? : les salariés de l'agence dans les transformations de la banque des années 1990-2000"
"355","Laurence",2000-01-01,"Armel",NA,"L'accès aux droits sociaux dans les situations d'accueil : la mise en jeu de la personne : l'exemple d'une Caisse d'allocations familiales"
"356","Laura",2009-01-01,"Annie",NA,"L'art et la ville : la diffusion des arts plastiques dans une métropole de province"
"357","Mansour",2002-01-01,"Jean-Luc",NA,"L'influence de la télévision et de l'Internet sur les jeunes des Emirats Arabes Unis"
"358","Elisabeth",2005-01-01,"Joëlle",NA,"On est quoi, nous ? : d'une génération à l'autre, des vies au sein de la cité Ney"
"359","Philippe",2002-01-01,"Jean-Paul",NA,"Sociologie de représentations ouvrières de la révolution"
"360","Michèle",2006-01-01,"Jean-Yves",NA,"Grundschullehrer et professeurs des écoles au travail : construction des relations professionnelles"
"361","Khanh Trung",2006-01-01,"Hervé",NA,"L'université dans la société vietnamienne actuelle : du curriculum formel au curriculum réel : Observation de trois établissements à Ho Chi Minh – Ville"
"362","Edith",2006-01-01,"François","Charles-Henry","La socialisation professionnelle des éducateurs spécialisés : le rôle des centres de formation"
"363","Olivier",2010-01-01,"Armel",NA,"Piazza Vittorio, des chinois qui mènent à Rome : défis diasporiques globalisés et conflits de territorialisation identitaire"
"364","Christelle",2005-01-01,"Marcel",NA,"Les tutelles aux prestations sociales enfant au sein de deux unions départementales d'associations familiales : enjeux locaux autour de la prise en charge des ""mauvaises familles"""
"365","Nada",2001-01-01,"Jean-Paul",NA,"La gestion de la différence en Grande-Bretagne et en France : Discours et pratiques : L'exemple de l'éducation multiculturelle"
"366","Audrey Anne",2008-01-01,"Maurice",NA,"Systèmes de production de connaissance territoriale : conditions de mise en oeuvre et de fonctionnement d'un observatoire transversal dans le cadre des agences d'urbanisme"
"367","Emmanuel",2006-01-01,"Jean-Bruno",NA,"La résurgence contemporaine du symbole du dauphin : approche socio-anthropologique"
"368","Stéphane",2004-01-01,"Armel",NA,"La belle image des sapeurs-pompiers français : pragmatique de l'émotion et du sacré"
"369","Simon",2010-01-01,"Dominique",NA,"Sociologie de la composition des collectifs web 2. 0 : le cas de la diaspora bretonne"
"370","Hugues",2009-01-01,"Charles",NA,"Une impossible éducation nationale à la conduite automobile : sociologie du permis de conduire"
"371","Arnaud",2006-01-01,"Michel",NA,"Les ADFI : de l'affectation des parents d'adeptes à une approche non conceptuelle du ""sectaire"" : une contribution à l'étude de la constitution des problèmes publics ainsi qu'à l'élaboration d'une pragmatique de la connaissance"
"372","Léa",2004-01-01,"Éric",NA,"L'état social et les jeunes : une comparaison France-Québec des systèmes d'assistance-jeunesse"
"373","Laurence",2010-01-01,"Michel",NA,"Une bulle britannique sur la Garonne ? : mode de vie, de consommation et de sociabilité des expatriés professionnels britanniques en région toulousaine"
"374","Frédéric",2007-01-01,"Jean-Michel",NA,"Des «pêcheurs sans panier» : contribution à une sociologie des nouveaux usages culturels de la nature"
"375","Fatima El",2007-01-01,"Dominique",NA,"La gestion de l'espace carcéral : analyse sociologique du peuplement en maisons d'arrêt"
"376","Anne-Sandrine",2003-01-01,"Joëlle",NA,"Syndicalisme des ingénieurs et cadres dans la région nantaise, construction d'une identité culturelle et sociale"
"377","Fazilet Ahu",2009-01-01,"Freddy",NA,"La Jeunesse alevie : une jeunesse plurielle, traditionnaliste ou postmoderniste ?"
"378","Alain",2002-01-01,"Jean-Claude",NA,"Adaptation complexe et médiaction : principes d' une ingénierie de l' intervention du sociologue : un exemple dans la politique de l' emploi/formation"
"379","Nora",2003-01-01,"José",NA,"L'aménagement-réduction du temps de travail et l'inflexion des politiques d'emploi en France à l'aune des régulations d'entreprise et de l'organisation temporelle du travail : quelle dynamique des modes d'emploi ?"
"380","Bernard",2009-01-01,"Véronique",NA,"Les  »gens du voyage », une catégorie problématique de l'action publique : analyse socio-historique et ethnographique d'une catégorie, de ses enjeux et effets"
"381","Anssou",2011-01-01,"Véronique",NA,"La construction du projet de mariage chez les migrants sénégalais de Loire-Atlantique (France)"
"382","Thibault",2007-01-01,"Jean-Pierre",NA,"En quête de compétences : le personnel politique local et l'intercommunalité en milieu rural (haute Côte-d'Or)"
"383","Stéphanie",2001-01-01,"Jean-Pierre",NA,"Sociologie de l'électorat du parti populiste bolivien Conciencia de patria"
"384","Franck",2002-01-01,"Jean-Michel",NA,"Champ de la sécurité et prévention des illégalismes : pour une analyse sociologique des enjeux relatifs aux politiques locales de prévention et de sécurité"
"385","Anne",2000-01-01,"Didier",NA,"Le lien psychatrique comme lien social generalise analyse sociologique des transformations recentes de la psychiatrie publique"
"386","Denis",2002-01-01,"François",NA,"L'émergence de la profession de psychomotricien"
"387","Khosro",2000-01-01,"Jean-Yves",NA,"La construction sociale du mécontentement en France"
"388","Franck",2004-01-01,"Maria",NA,"Les assistants sociaux au travail : la construction d'une sociologie du travail au quotidien"
"389","Quidora",2012-10-15,"Jean-Yves","Jean-Louis","Contre-pouvoir, Technicité et action associative : fonctionnements et engagements associatifs au sein d'organisations de défense des consommateurs en France et au Chili"
"390","Suhail",2013-05-15,"Armel","Jean-Yves","Habitat, aménagement et gouvernance locale en Palestine : le cas de Naplouse"
"391","Soumaya",2012-09-17,"Pascal","Nicoletta","L'adoption en Tunisie : vécu, pratiques et représentations"
"392","Louis",2012-12-05,"David","Régine","L'alimentation des enfants : un observatoire des cultures enfantines et des rapports intergénérationnels"
"393","Laura",2013-03-20,"Catherine","Stéphane de","La mixité conjugale : une expérience de migration : approche comparée des effets de la stigmatisation sur les natifs et leurs partenaires ""arabes"" en Vénétie et en Alsace"
"394","Marc",2012-09-25,"Angelina",NA,"Musiciens havanais à l'épreuve de ""la période spéciale"" : quotidien sous tension et rapport au politique à Cuba"
"395","Julie",2018-04-17,"Sylvette","Marie-Pierre","Les espaces protégés au titre du patrimoine urbain : analyse des conflits à l'occasion des demandes d'autorisation d'urbanisme : transmission et appropriation des politiques publiques par les différents acteurs"
"396","Youssef",2017-11-16,"Denis","Mohamed","La problématique de la gestion du culte musulman en france"
"397","Sophia",2012-04-10,"Nicole","Georges","Réforme de l'Université et transformations curriculaires : des activités de recontextualisation aux effets sur les savoirs : Les universités françaises et le cas des masters en sciences humaines et sociales"
"398","Zoya",2012-11-19,"Jean-Yves","Jean","Les rapports professionnels - usagers dans le travail social au Daghestan et en France. Perspectives sociologiques et pédagogiques"
"399","Sébastien",2012-06-26,"Alban",NA,"L'expression de croyances religieuses dans l'enseignement public : étude comparative France-Pologne"
"400","Jan",2018-12-12,"Franck","Jérôme","Une consommation mobile numérisée : suivi des pratiques marchandes assistées avec un smartphone et adaptation des méthodes de recherche"
"401","Linh",2017-05-03,"Vincent","Jean-Pierre","La création d'une assurance-maladie universelle au Vietnam"
"402","Cécile",2003-01-01,"Jean-Marie",NA,"Anthropologie phénoménologique des rencontres destinales"
"403","Abdoulaye",2017-12-13,"Catherine","Lena","Les mobilisations familiales et/ou individuelles pour la réalisation de projets d'immigration clandestine de la Casamance vers l'Europe"
"404","Verena",2019-01-21,"Laurence","Laëtitia","Le souci d’autrui en miettes – Capitalisme émotionnel et division du travail humanitaire depuis Lyon, Pékin et Bamako"
"405","Anne-Emmanuelle",2014-10-24,"Jean-Pierre","Vincent","Changement dans la construction sociale de la production alimentaire localisée : analyse à partir du cas drômois"
"406","Victor",2017-10-20,"Michèle","Dominique","La fabrique des ""serious games"", activité, normes, usages : du jeu dans les rouages de l’innovation pédagogique"
"407","Héloïse",2019-11-07,"Hélène","Blandine","Pour un empowerment socio-environnemental : sociologie d'un mouvement féministe alternatif au Brésil"
"408","Anaïs",2019-11-19,"Franck","Alexandre","L'animation politique des marchés : le management commercial au service de la gestion des centres urbains"
"409","Natália",2019-07-05,"Marie-Christine","Camille","L'analyse de la mise en oeuvre locale du Mécanisme de Développement Propre : le cas de la gestion des déchets solides urbains à Rio de Janeiro."
"410","Estelle",2015-11-26,"Jean-Pierre","Hélène","Socio-anthropologie d'une transition protéique : comprendre la consommation des aliments protéiques d'origine animale à Delhi et Vadodara (Inde)"
"411","Abdou Simon",2017-01-26,"François","Sylvain","La participation du patient insuffisant rénal chronique aux processus de décisions thérapeutiques"
"412","Caterina",2017-09-06,"Michel","Estrella","Franchir les Pyrénées en moments d'incertitude : le rôle des réseaux transnationaux dans les défis professionnels des jeunes espagnols à Toulouse"
"413","Cheikh",2014-09-29,"Chantal",NA,"Le transnational pour argument : socio-anthropologie historique du mouvement confrérique tidjane de Cheikh Ibrahim Niasse"
"414","Grazyna",2012-12-17,"Serge","Gilles","Le mariage islamo-chrétien en France : une approche anthropologique"
"415","François",2013-12-18,"Patrick","Michel","Collégialité & Subsidiarité : un principe-dual pour l'action - Des organisations durables dans un environnement complexe"
"416","Séverine",2014-06-02,"Jean Samuel",NA,"« Vivre avec la possibilité d’une inondation » ? : Ethnographie de l’habiter en milieu exposé… et prisé."
"417","Michaël",2014-06-05,"Thierry",NA,"« Back to Tenochtitlan » : Migration de retour et nouvelles maquiladoras de la communication : Le cas des jeunes migrants employés dans les centres d’appel bilingues de la ville de Mexico."
"418","Yannick",2013-11-06,"Corine",NA,"Formes des matières conceptuelles : contribution à la sociologie de la connaissance"
"419","Iris",2013-06-13,"Nicole",NA,"Prise en charge des vieillissements, solidarité sociale et intergénérationnelle. : Le cas d’un EHPAD privé comme entité collective."
"420","Celia",2018-11-27,"Sylvie","Sarah","Vivre la révolution de 2011 à distance : sociologie des migrations égyptiennes en France"
"421","Manal Ali",2013-06-07,"Nicole",NA,"Les discours sur le port du voile dans la Presse française et la construction d’un débat public contradictoire en France"
"422","Macodou",2013-12-06,"Thierry",NA,"Les usages sociaux des groupes de travail au Sénégal : facteurs d'égalisation des chances à l'école"
"423","Coralie",2014-11-13,"Nicole",NA,"Du processus de production des contenus curriculaires à leur mise en forme scolaire officielle : le cas des sciences économiques et sociales au lycée"
"424","Dimitris",2013-10-11,"Nicole",NA,"La production des discours électoraux comme configuration des mythes politiques européens : Une analyse comparative des programmes électoraux européens, français et chypriotes pour les élections du Parlement européen de 2009."
"425","Tomokazu",2013-05-31,"Van Thao",NA,"Hanoi et Haiphong au contact de la colonisation : structuration et restructuration de la société urbaine en Indochine française (1887-1945) : le cas de Hanoi et de Haiphong"
"426","Vincent",2017-11-06,"Pierre","Jérôme","Tensions sur l'espace villageois contemporain : les mécanismes de prévention des conflits liés à l'implantation des parcs solaires en région Provence-Alpes-Côte d'Azur"
"427","Pierre Olivier",2018-12-03,"Laurent","Dominique","Les usagers des campus universitaires marseillais face à la délinquance et aux incivilités"
"428","Myriam",2017-02-21,"Mohamed","Jean-Paul","Se convertir à l’islam en France aujourd’hui : entre cheminements individuels et appartenances communautaires"
"429","Céline",2015-02-06,"Chantal","Pierre","L'institutionnalisation de la santé environnementale en France. : D'une approche globale homme / environnement à la sectorisation d'actions de santé publique"
"430","Catherine",2014-12-08,"Nicole","Bernard","D’une innovation pédagogique au « bougé » de la forme scolaire : Monographie du dispositif Projet et Ateliers Sup’Sciences (PASS) dans l’académie d’Aix-Marseille"
"431","Benoît",2015-12-09,"Joëlle","Gilles","Rêves et cauchemars de la modernité New-Yorkaise : sociologie de l'œuvre en songes de Winsor McCay"
"432","Elise",2012-10-09,"Catherine","Phil","Transmissions intergénérationnelles dans des familles d'origine marocaine en France et en Allemagne : ""la fierté d'être soi"""
"433","Emmanuel",2008-01-01,"Michel",NA,"L’Église catholique et l'Europe : l'européanisation du Finistère"
"434","Michel",2013-01-01,"Frédérick",NA,"Dynamiques du risque collectif : Éléments d'une socioanthropologie du risque"
"435","Virginie",2012-01-01,"Yvon",NA,"Le consentement au prélèvement, entre régulation étatique et initiative associative : La fédération des associations pour le don d'organes et de tissus humains dans le système des transplantations : mobilisation, débat public, représentations (1974-2011)"
"436","Khadija",2013-12-17,"Ahmed","Jean-Yves","La requête d'asile et la constructionde sa crédibilité. Entre rationalisation et subjectivation des discours de l'exil"
"437","Issa",2019-12-13,"Sylvie","Marc","Carrières des leaders associatifs comoriens : Paris, Grande-Comore"
"438","Jean",2002-01-01,"Jean-Yves",NA,"Les instruments de mesure de la gestion de production.  : Le problème de la sécurité et de la sauvegarde des ressources humaines et non humaines dans trois grands groupes industriels"
"439","Christelle",2000-01-01,"Michel",NA,"""Pour une analyse sociologique des raids sportifs interentreprises (Des événements régionaux paradoxaux)"""
"440","Sergio Luis",2008-01-01,"Martine",NA,"L' invention des identités noires dans le Nordeste brésilien"
"441","Bertin",2005-01-01,"Gilbert de",NA,"La modernisation quotidienne par les activités professionnelles et marchandes au Gabon"
"442","Ana",2010-01-01,"Gilles",NA,"Logiques économiques et comptes domestiques en milieux populaires : éthnographie économique d'une ""zone urbaine sensible"""
"443","Isabelle",2007-01-01,"Jean-Marie",NA,"Les figures sexuelles de l'altérité : échanges symboliques entre les sexualités animales et humaines"
"444","Hassan",2006-01-01,"Jean-Marie",NA,"Sociologie phénoménologique du silence : sociologie première"
"445","Florence",2009-01-01,"Patrick",NA,"Non-contemporanéités, socialité et historicité : vers une sociologie de l'héritage du temps"
"446","Nathalie",2001-01-01,"Jean-Paul",NA,"La gestion intégrée de l'eau en France : critique sociologique à partir d'une étude de terrain, bassin Loire-Bretagne"
"447","Eliane",2009-01-01,"Gilles",NA,"Du diagnostic à l'évaluation d'une politique publique d'emploi et de formation professionnelle en faveur des jeunes : le cas de l'apprentissage en Poitou-Charentes"
"448","Maria",2010-01-01,"Nadir",NA,"La mémoire familiale comme point d'ancrage de la reconstruction de l'identité : le cas des migrants provenant des pays de la Méditerranée vivant en Picardie"
"449","Amandine",2009-01-01,"Francis",NA,"Pour une sociologie du journalisme : analyse de l'éthique et des valeurs communicationnelles du journalisme de presse écrite"
"450","Amadou Hamath",2006-01-01,"Jean-Yves",NA,"Décentralisation et développement local : le cas de la vallée du fleuve Sénégal"
"451","Eric",2004-01-01,"Charles",NA,"Des cadres dans une société en mutation : une tentative pour comprendre le rapport au travail des cadres"
"452","Christine",2002-01-01,"Yves",NA,"Champ universitaire, champ littéraire : les écritures autobiographiques chez les professeurs de la Sorbonne, 1880-1940"
"453","Assane",2001-01-01,"Stéphane",NA,"Les Réponses villageoises apportées à la politique étatique de développement en milieu rural : étude de cas de la communauté rurale de Lambaye au Sénégal"
"454","Mastur",2007-01-01,"Gilles",NA,"La problématique du développement en Lybie : étude de cas : la société locale de la ville d'El-Beida"
"455","Stéphanie",2010-01-01,"Daniel",NA,"La socialisation élitaire des étudiants aux États-Unis : le cas des Final Clubs, sociétés secrètes de Harvard"
"456","Carole",2008-01-01,"Chantal",NA,"L'expérience langagière des migrants : de la pluralité des pratiques à la diversité du vécu des formations linguistiques à Toulouse et à Barcelone"
"457","CHANTAL",2000-01-01,"Pierre",NA,"Les notions de force et de vie permanence culturelle, necessite conceptuelle"
"458","Lamine",2000-01-01,"Patrick",NA,"La relation parenté / mort chez les Wolof du Sénégal : traces traditionnelles et état actuel des représentations"
"459","Gérôme",2004-01-01,"Joëlle",NA,"Scènes locales, scène globale : contribution à une sociologie économique des producteurs de musiques amplifiées en France"
"460","Etienne",2006-01-01,"Francis",NA,"Une sociologie de la médiation : la stratégie absolutiste de la modération"
"461","Damien",2006-01-01,"Michel",NA,"Le masochisme : du sadomasochisme au masochisme social"
"462","Monique",2006-01-01,"Yves",NA,"Logiques de différenciations : anciennes lycéennes d'origine algérienne"
"463","Ivan",2005-01-01,"Gilbert de",NA,"Une approche sociologique de la robustesse organisationnelle : le cas du travail des réparateurs sur un grand réseau de télécommunication"
"464","Emmanuelle",2009-01-01,"Bernard",NA,"La console Wii : une technologie tolérante"
"465","Seiko",2004-01-01,"ʿAlī al-",NA,"Politique familiale en Tunisie : l'apport du mouvement associatif dans la restructuration de la société"
"466","Abaher el",2005-01-01,"ʿAlī al-",NA,"Nation et patrie dans la formation de la Palestine actuelle"
"467","Bernadette",2003-01-01,"Georges","François","Ruralité et réussite scolaire au collège : 14 collèges ruraux et urbains dans l'académie de Toulouse"
"468","Claire",2009-01-01,"Gérard",NA,"Entre démocratisations scolaire et culturelle : sociologie du baccalauréat théâtre"
"469","Stéphane",2009-01-01,"Jean-Claude",NA,"Irréversibilité et Imprévisibilité : la complexité du projet : le cas du projet de 5ème université dans le nord-est de Midi-Pyrénées"
"470","Nicolas",2008-01-01,"Patrick",NA,"La sociologie des temps sociaux : des sociétés modernes aux sociétés contemporaines"
"471","Nadia",2006-01-01,"Jean-Marie",NA,"Deuils et héritages : confrontations : restes, traces et empreintes du proche"
"472","Alpha Oumar",2010-01-01,"Dominique",NA,"Analyse sociologique des mécanismes locaux de participation communautaire au développement en République de Guinée : le cas du Fouta-Djallon"
"473","Khaled",2006-01-01,"Gilles",NA,"La planification urbaine en Libye et dans sa capitale Tripoli"
"474","Ryad",2008-01-01,"Jens",NA,"Les sapeurs pompiers, une identité temporelle de métier"
"475","Pascal",2006-01-01,"Jean",NA,"Figures de la dignité ouvrière : enquête sur les usines Brissonneau-Chausson de Creil (1950-1996)"
"476","Annick",2000-01-01,"Jean-Paul",NA,"L'independance des etudiants a travers le logement"
"477","Francisco",2006-01-01,"Rachid",NA,"Impacts et bénéfices perçus du tourisme et soutien des portugais à la touristification de l'arrière-paysAu-delà de la dichotomie touriste / résident"
"478","Omero",2002-01-01,"Gabriel",NA,"L'islam au pluriel : Étude du rapport au religieux chez les jeunes musulmans"
"479","Michel",2006-01-01,"Gilbert de",NA,"Le travail public régional : le cas du fonds régional d'innovation pour l'emploi"
"480","Marc",2000-01-01,"Joëlle",NA,"Le discours de l'episcopat francais sur la liberte de l'enseignement : 1959-1994"
"481","Soazig",2003-01-01,"Alain",NA,"Le monde du conte en Europe : contribution à une sociologie de l'oralité"
"482","Emmanuel",2008-01-01,"Anne",NA,"Approche sociologique de la conduite instrumentée : formes de la cognition distribuée en conduite automobile"
"483","David",2008-01-01,"Barbara",NA,"L' envie de rien : éléments pour une sociologie de l'autodestruction"
"484","Sandrine",2001-01-01,"François",NA,"Conflits d'aménagement, débat public et construction de l'intérêt général : une expérience démocratique ?"
"485","Grégoire",2009-01-01,"Martine",NA,"Les représentations du Brésil en France Ou L'interaction de deux cultures à travers le prisme des médias"
"486","Roumiana",2008-01-01,"Charles",NA,"Etude de la recomposition de l'espace sociopolitique en Bulgarie (fin 19ème siècle-2007) : contribution à une sociologie de l'incroyance politique"
"487","Catherine",2003-01-01,"Didier",NA,"La vocation de soi : une sociologie de la reconversion professionnelle volontaire"
"488","Kadijatou",2016-12-16,"Philippe","Yves","Les carrières des chercheurs et les politiques d'enseignement supérieur et de recherche au Niger"
"489","François",2013-10-01,"Dominique","Philippe","Étudier le polyusage récréationnel de drogues à travers une simulation multi-agents ontologique"
"490","Joël",2016-10-11,"Dominique",NA,"Entre subversion et gouvernementalité : le droit d’expression collective des personnes détenues en France (1944-2014)"
"491","Agnès",2012-06-27,"Jean-Yves","Mireille","L'apparence, critère habilitant ou discriminant dans l'entretien de recrutement : exemple des commerciaux en banque"
"492","Lionel",2012-12-12,"Liane","Patrick","Le désir d'apprendre des élèves de lycée professionnel : un éloge de la fuite"
"493","Antonio",2017-12-04,"Abdelhafid",NA,"La ville conflictuelle : luttes pour le logement et transformations des quartiers populaires : le faubourg de Fives à Lille (1969-2016)"
"494","Benoît",2013-07-03,"Joseph","Lionel","Une analyse de l'expérimentation et de la diffusion en Lorraine des revendications syndicales de ""la prise en charge des discontinuités d'emploi"" portées au niveau confédéral par la CGT et par la CFDT"
"495","Dominique",2012-11-13,"Éric","Thierry","Institutionnalisation des territoires et action publique : Sociologie de dispositifs de coordination dans le champ formation-emploi en Provence – Alpes – Côte d’Azur (2005-2010)"
"496","Catherine",2012-10-19,"Éric","José","Politiques de lutte contre l’exclusion et construction de l’employabilité : évaluation des personnes et offres institutionnelles : Le cas du RMI dans les Bouches du Rhône"
"497","Laurent",2002-01-01,"Patrick",NA,"Une herméneutique des plantes d'intérieur : pour une sociologie de l'espace domestique aux XIXe et XXe siècles"
"498","Jérémy",2014-04-08,"Florent","Isabelle","Intériorités/Sensations/Consciences : sociologie des expérimentations somatiques du Contact Improvisation et du Body-Mind Centering"
"499","Didier",2019-10-21,"Anne-Chantal","Charles","Les intermittents de la maladie : analyse sociologique du vécu des personnes atteintes d'une maladie chronique"
"500","Soline",2013-09-10,"Nicky",NA,"De la cause des femmes au marché de l'égalité : l'émergence de l'espace de l'accompagnement à l'égalité professionnelle en France (1965-2012)"
"501","Stéphane",2019-04-05,"Mathias","Stéphane","Réussir ses TPE. Une sociologie de la domination scolaire et culturelle au sein des dispositifs pédagogiques du lycée"
